1598919300000,11634.17000000,11638.00000000,11633.91000000,11633.91000000,34.52096300,1598919359999,401683.73989817,704,17.79493700,207059.66677768,0
1598919360000,11633.91000000,11636.58000000,11630.79000000,11632.82000000,37.23066100,1598919419999,433157.60128257,945,17.56299700,204331.33114261,0
1598919420000,11632.82000000,11635.10000000,11627.23000000,11629.04000000,31.86589100,1598919479999,370644.28936366,985,12.76378900,148461.33021186,0
1598919480000,11629.05000000,11634.21000000,11623.58000000,11626.15000000,62.17598000,1598919539999,722982.72140081,682,15.41130700,179194.47227632,0
1598919540000,11626.15000000,11627.49000000,11621.49000000,11622.79000000,30.60650000,1598919599999,355780.63435500,1039,15.37237900,178694.78068801,0
1598919600000,11622.78000000,11623.12000000,11601.51000000,11603.75000000,143.13808000,1598919659999,1662328.33476544,1834,47.51526500,551800.18204002,0
1598919660000,11603.75000000,11604.40000000,11515.00000000,11562.05000000,747.92542400,1598919719999,8646222.85011205,7269,281.54880200,3253460.85941489,0
1598919720000,11562.98000000,11570.27000000,11551.00000000,11562.59000000,135.87535600,1598919779999,1570874.47934893,2432,69.15806100,799561.78451671,0
1598919780000,11562.58000000,11564.52000000,11542.09000000,11553.03000000,107.29410100,1598919839999,1239263.37017255,1844,52.90162300,611039.19956123,0
1598919840000,11553.02000000,11562.99000000,11547.74000000,11562.78000000,103.05328600,1598919899999,1190659.02776310,1768,39.06004400,451362.38295198,0
1598919900000,11562.79000000,11589.94000000,11558.25000000,11583.40000000,137.23401800,1598919959999,1588340.81015183,1650,88.92168400,1029133.49383543,0
1598919960000,11583.40000000,11592.32000000,11575.00000000,11575.00000000,109.61397700,1598920019999,1269671.09412579,1575,47.81998800,554005.16515090,0
1598920020000,11575.00000000,11580.89000000,11574.62000000,11575.11000000,39.24496100,1598920079999,454316.85974925,828,21.22929800,245760.21313755,0
1598920080000,11575.11000000,11582.43000000,11575.00000000,11575.00000000,46.06087900,1598920139999,533282.99383642,962,18.28473500,211679.68004961,0
1598920140000,11575.00000000,11583.30000000,11575.00000000,11580.23000000,54.82588500,1598920199999,634787.20159634,940,19.67962800,227858.05805143,0
1598920200000,11580.23000000,11580.23000000,11564.21000000,11568.55000000,96.33100700,1598920259999,1114658.22896774,1403,50.00697700,578603.71771650,0
1598920260000,11568.55000000,11585.60000000,11567.81000000,11579.71000000,72.33572200,1598920319999,837460.19809191,1129,30.92720700,358105.57914493,0
1598920320000,11579.70000000,11591.27000000,11579.32000000,11586.43000000,61.50849600,1598920379999,712665.62267428,859,35.46716100,410937.41664300,0
1598920380000,11586.43000000,11589.41000000,11582.09000000,11588.84000000,44.12499300,1598920439999,511224.99429295,831,12.98935200,150495.86674483,0
1598920440000,11588.84000000,11588.85000000,11577.07000000,11583.55000000,43.56624000,1598920499999,504640.51039086,791,15.86848800,183819.38273598,0
1598920500000,11583.55000000,11589.21000000,11583.46000000,11584.00000000,45.22734100,1598920559999,523986.72016223,600,20.01077800,231825.35636763,0
1598920560000,11583.99000000,11591.60000000,11582.62000000,11589.58000000,50.76115400,1598920619999,588183.24979380,842,24.40511600,282799.22721638,0
1598920620000,11589.59000000,11598.99000000,11589.59000000,11597.72000000,48.49893800,1598920679999,562324.82964446,825,16.69049400,193513.60048057,0
1598920680000,11597.72000000,11613.34000000,11597.72000000,11610.62000000,75.28828000,1598920739999,873776.33829572,914,41.98802900,487288.40064357,0
1598920740000,11610.62000000,11615.69000000,11603.22000000,11611.54000000,84.04404200,1598920799999,975608.77595524,1122,37.61997000,436714.53862928,0
1598920800000,11611.55000000,11620.00000000,11611.52000000,11619.99000000,47.46926300,1598920859999,551319.19684626,946,20.17122800,234279.88567337,0
